 Q   P   R   X   Y  Curvature

 0   1   2   2  14          0
 1   2   3   3  13          0
 2   3   4   4  12    -100001
 3   4   5   4  11          0
 4   5   6   4  10          0
 5   6   7   4   9          0
 6   7   8   4   8          0
 7   8   9   4   7          0
 8   9  10   4   6      99999
 9  10  11   5   7          1
10  11  12   6   7         -1
11  12  13   7   8          0
12  13  14   8   9          2
13  14  15   9   8         -1
14  15  16  10   8          1
15  16  17  11   7    -100001
16  17  18  11   6          0
17  18  19  11   5          0
18  19  20  11   4          0
19  20  21  11   3     100000
20  21  22  12   3          0
21  22  23  13   3          0
22  23  24  14   3          0
23  24  25  15   3          0
24  25  26  16   3          0
25  26  27  17   3     100000
26  27  28  17   4          0
27  28  29  17   5          0
28  29  30  17   6          0
29  30  31  17   7          0
30  31  32  17   8          0
31  32  33  17   9    -100001
32  33  34  18  10          1
33  34  35  19  10          0
34  35  36  20  10          0
35  36  37  21  10          0
36  37  38  22  10          0
37  38  39  23  10          1
38  39  40  24   9    -100001
39  40  41  24   8          0
40  41  42  24   7     100000
41  42  43  25   7          1
42  43  44  26   6         -1
43  44  45  27   6          0
44  45  46  28   6          0
45  46  47  29   6         -1
46  47  48  30   7          0
47  48  49  31   8          0
48  49  50  32   9          0
49  50  51  33  10     100001
50  51  52  33  11    -100001
51  52  53  34  12     100001
52  53  54  34  13          0
53  54  55  34  14          0
54  55  56  34  15          0
55  56  57  34  16          0
56  57  58  34  17     -99999
57  58  59  33  18          0
58  59  60  32  19          0
59  60  61  31  20          0
60  61  62  30  21          0
61  62  63  29  22         -1
62  63  64  28  22          0
63  64  65  27  22          0
64  65  66  26  22         -1
65  66  67  25  21          1
66  67  68  24  21         -1
67  68  69  23  20          0
68  69  70  22  19          0
69  70  71  21  18          0
70  71  72  20  17     -99999
71  72  73  20  16      99999
72  73  74  19  15          0
73  74  75  18  14          2
74  75  76  17  15          0
75  76  77  16  16      99999
76  77  78  16  17          0
77  78  79  16  18     -99999
78  79  80  15  19          0
79  80  81  14  20          0
80  81  82  13  21          0
81  82  83  12  22          0
82  83  84  11  23          0
83  84  85  10  24         -2
84  85  86   9  23          0
85  86  87   8  22          0
86  87  88   7  21          0
87  88  89   6  20          0
88  89  90   5  19          0
89  90  91   4  18          0
90  91  92   3  17          0
91  92   0   2  16          0
92   0   1   1  15          2



Index   X   Y  Curvature  localMax  Corner

    0   1  15          2         1       8
    1   2  14          0         0       1
    2   3  13          0         0       1
    3   4  12    -100001         1       8
    4   4  11          0         0       1
    5   4  10          0         0       1
    6   4   9          0         0       1
    7   4   8          0         0       1
    8   4   7          0         0       1
    9   4   6      99999         1       8
   10   5   7          1         0       1
   11   6   7         -1         0       1
   12   7   8          0         0       1
   13   8   9          2         1       8
   14   9   8         -1         0       1
   15  10   8          1         0       1
   16  11   7    -100001         1       8
   17  11   6          0         0       1
   18  11   5          0         0       1
   19  11   4          0         0       1
   20  11   3     100000         1       8
   21  12   3          0         0       1
   22  13   3          0         0       1
   23  14   3          0         0       1
   24  15   3          0         0       1
   25  16   3          0         0       1
   26  17   3     100000         1       8
   27  17   4          0         0       1
   28  17   5          0         0       1
   29  17   6          0         0       1
   30  17   7          0         0       1
   31  17   8          0         0       1
   32  17   9    -100001         1       8
   33  18  10          1         0       1
   34  19  10          0         0       1
   35  20  10          0         0       1
   36  21  10          0         0       1
   37  22  10          0         0       1
   38  23  10          1         0       1
   39  24   9    -100001         1       8
   40  24   8          0         0       1
   41  24   7     100000         0       1
   42  25   7          1         0       1
   43  26   6         -1         0       1
   44  27   6          0         0       1
   45  28   6          0         0       1
   46  29   6         -1         1       8
   47  30   7          0         0       1
   48  31   8          0         0       1
   49  32   9          0         0       1
   50  33  10     100001         1       8
   51  33  11    -100001         1       1
   52  34  12     100001         1       8
   53  34  13          0         0       1
   54  34  14          0         0       1
   55  34  15          0         0       1
   56  34  16          0         0       1
   57  34  17     -99999         1       8
   58  33  18          0         0       1
   59  32  19          0         0       1
   60  31  20          0         0       1
   61  30  21          0         0       1
   62  29  22         -1         1       8
   63  28  22          0         0       1
   64  27  22          0         0       1
   65  26  22         -1         1       8
   66  25  21          1         1       1
   67  24  21         -1         1       8
   68  23  20          0         0       1
   69  22  19          0         0       1
   70  21  18          0         0       1
   71  20  17     -99999         1       8
   72  20  16      99999         1       8
   73  19  15          0         0       1
   74  18  14          2         0       1
   75  17  15          0         0       1
   76  16  16      99999         1       8
   77  16  17          0         0       1
   78  16  18     -99999         1       8
   79  15  19          0         0       1
   80  14  20          0         0       1
   81  13  21          0         0       1
   82  12  22          0         0       1
   83  11  23          0         0       1
   84  10  24         -2         1       8
   85   9  23          0         0       1
   86   8  22          0         0       1
   87   7  21          0         0       1
   88   6  20          0         0       1
   89   5  19          0         0       1
   90   4  18          0         0       1
   91   3  17          0         0       1
   92   2  16          0         0       1
